token_id	surface	norm	text_id	para_id	node_idx	is_tail	char_start	char_end	initial_char
mrav-aghdgoma-kyrile_p1_t22	მათგან	მათგან	mrav-aghdgoma-kyrile	p1	12	1	18	24	
mrav-aghdgoma-kyrile_p1_t23	კუალად	კუალად	mrav-aghdgoma-kyrile	p1	12	1	26	32	
mrav-aghdgoma-kyrile_p1_t24	აღდგა	აღდგა	mrav-aghdgoma-kyrile	p1	12	1	33	38	
mrav-aghdgoma-kyrile_p1_t25	და	და	mrav-aghdgoma-kyrile	p1	13	1	1	3	
mrav-aghdgoma-kyrile_p1_t26	იგი	იგი	mrav-aghdgoma-kyrile	p1	14	1	1	4	
mrav-aghdgoma-kyrile_p1_t27	ჯუარცუმისა	ჯუარცუმისა	mrav-aghdgoma-kyrile	p1	14	1	5	15	
mrav-aghdgoma-kyrile_p1_t28	მისისათჳს	მისისათვს	mrav-aghdgoma-kyrile	p1	15	1	1	10	
mrav-aghdgoma-kyrile_p1_t29	სმენაჲ	სმენაი	mrav-aghdgoma-kyrile	p1	15	1	11	17	
mrav-aghdgoma-kyrile_p1_t30	მწუხარებით	მწუხარებით	mrav-aghdgoma-kyrile	p1	15	1	18	28	
mrav-aghdgoma-kyrile_p1_t31	იყო	იყო	mrav-aghdgoma-kyrile	p1	15	1	29	32	
mrav-aghdgoma-kyrile_p1_t32	ეგრეცა	ეგრეცა	mrav-aghdgoma-kyrile	p1	15	1	34	40	
mrav-aghdgoma-kyrile_p1_t33	აღდგომისა	აღდგომისა	mrav-aghdgoma-kyrile	p1	15	1	41	50	
mrav-aghdgoma-kyrile_p2_t0	ხარებდინ	ახარებდინ	mrav-aghdgoma-kyrile	p2	1	1	0	8	ა
mrav-aghdgoma-kyrile_p2_t1	კრებულსა	კრებულსა	mrav-aghdgoma-kyrile	p2	1	1	9	17	ა
mrav-aghdgoma-kyrile_p2_t2	ამას	ამას	mrav-aghdgoma-kyrile	p2	1	1	18	22	ა
mrav-aghdgoma-kyrile_p2_t3	გარდაიქეცინ	გარდაიქეცინ	mrav-aghdgoma-kyrile	p2	1	1	24	35	ა
mrav-aghdgoma-kyrile_p2_t4	გლოვაჲ	გლოვაი	mrav-aghdgoma-kyrile	p2	1	1	36	42	ა
mrav-aghdgoma-kyrile_p2_t5	თქუენი	თქუენი	mrav-aghdgoma-kyrile	p2	1	1	43	49	ა
mrav-aghdgoma-kyrile_p2_t6	სიხარულად	სიხარულად	mrav-aghdgoma-kyrile	p2	1	1	50	59	ა
mrav-aghdgoma-kyrile_p2_t7	და	და	mrav-aghdgoma-kyrile	p2	1	1	60	62	ა
mrav-aghdgoma-kyrile_p2_t8	მწუხარებანი	მწუხარებანი	mrav-aghdgoma-kyrile	p2	1	1	63	74	ა
mrav-aghdgoma-kyrile_p2_t9	იგი	იგი	mrav-aghdgoma-kyrile	p2	1	1	75	78	ა
mrav-aghdgoma-kyrile_p2_t10	მხიარულებად	მხიარულებად	mrav-aghdgoma-kyrile	p2	1	1	81	92	ა
mrav-aghdgoma-kyrile_p2_t11	და	და	mrav-aghdgoma-kyrile	p2	1	1	94	96	ა
mrav-aghdgoma-kyrile_p2_t12	აღივსნენ	აღივსნენ	mrav-aghdgoma-kyrile	p2	1	1	97	105	ა
mrav-aghdgoma-kyrile_p2_t13	სიხარულითა	სიხარულითა	mrav-aghdgoma-kyrile	p2	1	1	106	116	ა
mrav-aghdgoma-kyrile_p2_t14	და	და	mrav-aghdgoma-kyrile	p2	1	1	117	119	ა
mrav-aghdgoma-kyrile_p2_t15	გალობითა	გალობითა	mrav-aghdgoma-kyrile	p2	1	1	120	128	ა
mrav-aghdgoma-kyrile_p2_t16	პირნი	პირნი	mrav-aghdgoma-kyrile	p2	1	1	129	134	ა
mrav-aghdgoma-kyrile_p2_t17	ჩუენნი	ჩუენნი	mrav-aghdgoma-kyrile	p2	1	1	135	141	ა
mrav-aghdgoma-kyrile_p2_t18	მისთჳს	მისთვს	mrav-aghdgoma-kyrile	p2	1	1	142	148	ა
mrav-aghdgoma-kyrile_p2_t19	რომელმან	რომელმან	mrav-aghdgoma-kyrile	p2	1	1	150	158	ა
mrav-aghdgoma-kyrile_p2_t20	იგი	იგი	mrav-aghdgoma-kyrile	p2	1	1	159	162	ა
mrav-aghdgoma-kyrile_p2_t21	თქუა	თქუა	mrav-aghdgoma-kyrile	p2	1	1	163	167	ა
mrav-aghdgoma-kyrile_p2_t22	აღდგომისა	აღდგომისა	mrav-aghdgoma-kyrile	p2	2	1	1	10	
mrav-aghdgoma-kyrile_p2_t23	ვიცი	ვიცი	mrav-aghdgoma-kyrile	p2	5	1	1	5	
mrav-aghdgoma-kyrile_p2_t24	მოყუარეთაჲ	მოყუარეთაი	mrav-aghdgoma-kyrile	p2	6	1	1	11	
mrav-aghdgoma-kyrile_p2_t25	მათ	მათ	mrav-aghdgoma-kyrile	p2	6	1	12	15	
mrav-aghdgoma-kyrile_p2_t26	დღეთა	დღეთა	mrav-aghdgoma-kyrile	p2	8	1	1	6	
mrav-aghdgoma-kyrile_p2_t27	ამათ	ამათ	mrav-aghdgoma-kyrile	p2	8	1	7	11	
mrav-aghdgoma-kyrile_p2_t28	სიტყუაჲ	სიტყუაი	mrav-aghdgoma-kyrile	p2	10	1	1	8	
mrav-aghdgoma-kyrile_p2_t29	იგი	იგი	mrav-aghdgoma-kyrile	p2	10	1	9	12	
mrav-aghdgoma-kyrile_p2_t30	შესხმისაჲ	შესხმისაი	mrav-aghdgoma-kyrile	p2	10	1	13	22	
mrav-aghdgoma-kyrile_p2_t31	სიკუდილისათჳს	სიკუდილისათვს	mrav-aghdgoma-kyrile	p2	10	1	23	36	
mrav-aghdgoma-kyrile_p2_t32	იყო	იყო	mrav-aghdgoma-kyrile	p2	10	1	37	40	
mrav-aghdgoma-kyrile_p2_t33	და	და	mrav-aghdgoma-kyrile	p2	10	1	41	43	
mrav-aghdgoma-kyrile_p2_t34	საფლავისაჲ	საფლავისაი	mrav-aghdgoma-kyrile	p2	10	1	44	54	
mrav-aghdgoma-kyrile_p2_t35	ხოლო	ხოლო	mrav-aghdgoma-kyrile	p2	10	1	56	60	
mrav-aghdgoma-kyrile_p2_t36	აღდგომაჲ	აღდგომაი	mrav-aghdgoma-kyrile	p2	10	1	61	69	
mrav-aghdgoma-kyrile_p2_t37	არღა	არღა	mrav-aghdgoma-kyrile	p2	10	1	70	74	
mrav-aghdgoma-kyrile_p2_t38	ხარებულ	ხარებულ	mrav-aghdgoma-kyrile	p2	10	1	75	82	
mrav-aghdgoma-kyrile_p2_t39	იყო	იყო	mrav-aghdgoma-kyrile	p2	10	1	83	86	
mrav-aghdgoma-kyrile_p2_t40	და	და	mrav-aghdgoma-kyrile	p2	10	1	87	89	
mrav-aghdgoma-kyrile_p2_t41	მოელოდა	მოელოდა	mrav-aghdgoma-kyrile	p2	10	1	90	97	
mrav-aghdgoma-kyrile_p2_t42	მათი	მათი	mrav-aghdgoma-kyrile	p2	11	1	1	5	
mrav-aghdgoma-kyrile_p2_t43	სმენად	სმენად	mrav-aghdgoma-kyrile	p2	11	1	6	12	
mrav-aghdgoma-kyrile_p2_t44	სასურველსა	სასურველსა	mrav-aghdgoma-kyrile	p2	11	1	13	23	
mrav-aghdgoma-kyrile_p2_t45	მას	მას	mrav-aghdgoma-kyrile	p2	11	1	24	27	
mrav-aghdgoma-kyrile_p3_t0	ოლო	ხოლო	mrav-aghdgoma-kyrile	p3	1	1	0	3	ხ
mrav-aghdgoma-kyrile_p3_t1	აღდგომილ	აღდგომილ	mrav-aghdgoma-kyrile	p3	2	1	1	9	
mrav-aghdgoma-kyrile_p3_t2	არს	არს	mrav-aghdgoma-kyrile	p3	2	1	10	13	
mrav-aghdgoma-kyrile_p3_t3	მკუდარი	მკუდარი	mrav-aghdgoma-kyrile	p3	2	1	14	21	
mrav-aghdgoma-kyrile_p3_t4	იგი	იგი	mrav-aghdgoma-kyrile	p3	2	1	22	25	
mrav-aghdgoma-kyrile_p3_t5	და	და	mrav-aghdgoma-kyrile	p3	2	1	26	28	
mrav-aghdgoma-kyrile_p3_t6	და	და	mrav-aghdgoma-kyrile	p3	6	1	1	3	
mrav-aghdgoma-kyrile_p3_t7	მკუდართა	მკუდართა	mrav-aghdgoma-kyrile	p3	6	1	4	12	
mrav-aghdgoma-kyrile_p3_t8	განმათავისუფლებელი	განმათავისუფლებელი	mrav-aghdgoma-kyrile	p3	6	1	13	31	
mrav-aghdgoma-kyrile_p3_t9	რომელმან	რომელმან	mrav-aghdgoma-kyrile	p3	6	1	33	41	
mrav-aghdgoma-kyrile_p3_t10	იგი	იგი	mrav-aghdgoma-kyrile	p3	6	1	42	45	
mrav-aghdgoma-kyrile_p3_t11	შეურაცხებით	შეურაცხებით	mrav-aghdgoma-kyrile	p3	6	1	46	57	
mrav-aghdgoma-kyrile_p3_t12	და	და	mrav-aghdgoma-kyrile	p3	6	1	58	60	
mrav-aghdgoma-kyrile_p3_t13	მოთმინებით	მოთმინებით	mrav-aghdgoma-kyrile	p3	6	1	61	71	
mrav-aghdgoma-kyrile_p3_t14	გჳრგჳნი	გვრგვნი	mrav-aghdgoma-kyrile	p3	6	1	72	79	
mrav-aghdgoma-kyrile_p3_t15	ეკლისაჲ	ეკლისაი	mrav-aghdgoma-kyrile	p3	6	1	80	87	
mrav-aghdgoma-kyrile_p3_t16	თავს	თავს	mrav-aghdgoma-kyrile	p3	6	1	88	92	
mrav-aghdgoma-kyrile_p3_t17	იდვა	იდვა	mrav-aghdgoma-kyrile	p3	6	1	93	97	
mrav-aghdgoma-kyrile_p3_t18	ესე	ესე	mrav-aghdgoma-kyrile	p3	6	1	99	102	
mrav-aghdgoma-kyrile_p3_t19	აღდგა	აღდგა	mrav-aghdgoma-kyrile	p3	6	1	103	108	
mrav-aghdgoma-kyrile_p3_t20	და	და	mrav-aghdgoma-kyrile	p3	6	1	109	111	
mrav-aghdgoma-kyrile_p3_t21	სიკუდილისა	სიკუდილისა	mrav-aghdgoma-kyrile	p3	6	1	112	122	
mrav-aghdgoma-kyrile_p3_t22	ძლევისა	ძლევისა	mrav-aghdgoma-kyrile	p3	6	1	123	130	
mrav-aghdgoma-kyrile_p3_t23	შეიბნა	შეიბნა	mrav-aghdgoma-kyrile	p3	7	1	1	7	
mrav-aghdgoma-kyrile_p4_t0	ა	და	mrav-aghdgoma-kyrile	p4	1	1	0	1	დ
mrav-aghdgoma-kyrile_p4_t1	იგი	იგი	mrav-aghdgoma-kyrile	p4	2	1	1	4	
mrav-aghdgoma-kyrile_p4_t2	ჯუარცუმისა	ჯუარცუმისა	mrav-aghdgoma-kyrile	p4	2	1	5	15	
mrav-aghdgoma-kyrile_p4_t3	მისისათჳს	მისისათვს	mrav-aghdgoma-kyrile	p4	3	1	1	10	
mrav-aghdgoma-kyrile_p4_t4	წამებასა	წამებასა	mrav-aghdgoma-kyrile	p4	3	1	11	19	
mrav-aghdgoma-kyrile_p4_t5	მას	მას	mrav-aghdgoma-kyrile	p4	3	1	20	23	
mrav-aghdgoma-kyrile_p4_t6	შოვრით	შოვრით	mrav-aghdgoma-kyrile	p4	3	1	24	30	
mrav-aghdgoma-kyrile_p4_t7	მოვიღებდით	მოვიღებდით	mrav-aghdgoma-kyrile	p4	3	1	31	41	
mrav-aghdgoma-kyrile_p4_t8	ისმინე	ისმინე	mrav-aghdgoma-kyrile	p4	5	1	1	7	
mrav-aghdgoma-kyrile_p4_t9	აღდგომისათჳს	აღდგომისათვს	mrav-aghdgoma-kyrile	p4	5	1	8	20	
mrav-aghdgoma-kyrile_p4_t10	და	და	mrav-aghdgoma-kyrile	p4	5	1	22	24	
mrav-aghdgoma-kyrile_p4_t11	იგი	იგი	mrav-aghdgoma-kyrile	p4	6	1	1	4	
mrav-aghdgoma-kyrile_p4_t12	ვყვნეთ	ვყვნეთ	mrav-aghdgoma-kyrile	p4	7	1	1	7	
mrav-aghdgoma-kyrile_p4_t13	ამან	ამან	mrav-aghdgoma-kyrile	p4	8	1	1	5	
mrav-aghdgoma-kyrile_p4_t14	მოციქულთ	მოციქულთ	mrav-aghdgoma-kyrile	p4	9	1	1	9	
mrav-aghdgoma-kyrile_p4_t15	თქუა	თქუა	mrav-aghdgoma-kyrile	p4	10	1	1	5	
mrav-aghdgoma-kyrile_p4_t16	აღდგა	აღდგა	mrav-aghdgoma-kyrile	p4	11	1	2	7	
mrav-aghdgoma-kyrile_p4_t17	მესამესა	მესამესა	mrav-aghdgoma-kyrile	p4	11	1	8	16	
mrav-aghdgoma-kyrile_p4_t18	დღესა	დღესა	mrav-aghdgoma-kyrile	p4	11	1	17	22	
mrav-aghdgoma-kyrile_p4_t19	წერილ	წერილ	mrav-aghdgoma-kyrile	p4	12	1	1	6	
mrav-aghdgoma-kyrile_p4_t20	არს	არს	mrav-aghdgoma-kyrile	p4	12	1	7	10	
mrav-aghdgoma-kyrile_p4_t21	და	და	mrav-aghdgoma-kyrile	p4	13	1	2	4	
mrav-aghdgoma-kyrile_p4_t22	მოციქულმან	მოციქულმან	mrav-aghdgoma-kyrile	p4	15	1	1	11	
mrav-aghdgoma-kyrile_p4_t23	მოწამებისა	მოწამებისა	mrav-aghdgoma-kyrile	p4	16	1	1	11	
mrav-aghdgoma-kyrile_p4_t24	მას	მას	mrav-aghdgoma-kyrile	p4	16	1	12	15	
mrav-aghdgoma-kyrile_p4_t25	გზასა	გზასა	mrav-aghdgoma-kyrile	p4	17	1	1	6	
mrav-aghdgoma-kyrile_p4_t26	მოგუასწავა	მოგუასწავა	mrav-aghdgoma-kyrile	p4	17	1	7	17	
mrav-aghdgoma-kyrile_p4_t27	უმჯობჱს	უმჯობეს	mrav-aghdgoma-kyrile	p4	17	1	19	26	
mrav-aghdgoma-kyrile_p4_t28	არს	არს	mrav-aghdgoma-kyrile	p4	17	1	27	30	
mrav-aghdgoma-kyrile_p4_t29	ჩუენდა	ჩუენდა	mrav-aghdgoma-kyrile	p4	17	1	31	37	
mrav-aghdgoma-kyrile_p4_t30	გულისხმის	გულისხმის	mrav-aghdgoma-kyrile	p4	17	1	38	47	
mrav-aghdgoma-kyrile_p4_t31	ყოფად	ყოფად	mrav-aghdgoma-kyrile	p4	17	1	48	53	
mrav-aghdgoma-kyrile_p4_t32	ჩუენისა	ჩუენისა	mrav-aghdgoma-kyrile	p4	17	1	54	61	
mrav-aghdgoma-kyrile_p4_t33	მის	მის	mrav-aghdgoma-kyrile	p4	17	1	62	65	
mrav-aghdgoma-kyrile_p4_t34	ცხოვრებისა	ცხოვრებისა	mrav-aghdgoma-kyrile	p4	17	1	66	76	
mrav-aghdgoma-kyrile_p4_t35	სასოებისათჱს	სასოებისათეს	mrav-aghdgoma-kyrile	p4	17	1	77	89	
mrav-aghdgoma-kyrile_p4_t36	და	და	mrav-aghdgoma-kyrile	p4	17	1	90	92	
mrav-aghdgoma-kyrile_p4_t37	ვისწაოთ	ვისწაოთ	mrav-aghdgoma-kyrile	p4	19	1	1	8	
mrav-aghdgoma-kyrile_p4_t38	საღმრთონი	საღმრთონი	mrav-aghdgoma-kyrile	p4	20	1	1	10	
mrav-aghdgoma-kyrile_p4_t39	წიგნნი	წიგნნი	mrav-aghdgoma-kyrile	p4	20	1	11	17	
mrav-aghdgoma-kyrile_p4_t40	გჳთხრობენ	გვთხრობენ	mrav-aghdgoma-kyrile	p4	20	1	18	27	
mrav-aghdgoma-kyrile_p4_t41	ჩუენ	ჩუენ	mrav-aghdgoma-kyrile	p4	20	1	28	32	
mrav-aghdgoma-kyrile_p4_t42	ჟამსა	ჟამსა	mrav-aghdgoma-kyrile	p4	20	1	33	38	
mrav-aghdgoma-kyrile_p4_t43	მას	მას	mrav-aghdgoma-kyrile	p4	20	1	39	42	
mrav-aghdgoma-kyrile_p4_t44	აღდგომისასა	აღდგომისასა	mrav-aghdgoma-kyrile	p4	20	1	43	54	
mrav-aghdgoma-kyrile_p4_t45	ზაფხულის	ზაფხულის	mrav-aghdgoma-kyrile	p4	20	1	56	64	
mrav-aghdgoma-kyrile_p4_t46	მეა	მეა	mrav-aghdgoma-kyrile	p4	20	1	65	68	
mrav-aghdgoma-kyrile_p4_t47	ანუ	ანუ	mrav-aghdgoma-kyrile	p4	20	1	70	73	
mrav-aghdgoma-kyrile_p4_t48	ხილისა	ხილისა	mrav-aghdgoma-kyrile	p4	20	1	74	80	
mrav-aghdgoma-kyrile_p4_t49	იყოს	იყოს	mrav-aghdgoma-kyrile	p4	22	1	1	5	
mrav-aghdgoma-kyrile_p4_t50	ანუ	ანუ	mrav-aghdgoma-kyrile	p4	22	1	7	10	
mrav-aghdgoma-kyrile_p4_t51	ზამთრისა	ზამთრისა	mrav-aghdgoma-kyrile	p4	22	1	11	19	
mrav-aghdgoma-kyrile_p4_t52	შემდგომად	შემდგომად	mrav-aghdgoma-kyrile	p4	22	1	20	29	
mrav-aghdgoma-kyrile_p4_t53	ანუ	ანუ	mrav-aghdgoma-kyrile	p4	22	1	31	34	
mrav-aghdgoma-kyrile_p4_t54	რომლით	რომლით	mrav-aghdgoma-kyrile	p4	22	1	35	41	
mrav-aghdgoma-kyrile_p4_t55	ადგილით	ადგილით	mrav-aghdgoma-kyrile	p4	22	1	42	49	
mrav-aghdgoma-kyrile_p4_t56	მაცხოვარი	მაცხოვარი	mrav-aghdgoma-kyrile	p4	22	1	50	59	
mrav-aghdgoma-kyrile_p4_t57	აღდგეს	აღდგეს	mrav-aghdgoma-kyrile	p4	22	1	60	66	
mrav-aghdgoma-kyrile_p4_t58	ანუ	ანუ	mrav-aghdgoma-kyrile	p4	22	1	68	71	
mrav-aghdgoma-kyrile_p4_t59	რომელი	რომელი	mrav-aghdgoma-kyrile	p4	22	1	72	78	
mrav-aghdgoma-kyrile_p4_t60	განკჳრვებულთა	განკვრვებულთა	mrav-aghdgoma-kyrile	p4	23	1	1	14	
mrav-aghdgoma-kyrile_p4_t61	მათ	მათ	mrav-aghdgoma-kyrile	p4	23	1	15	18	
mrav-aghdgoma-kyrile_p4_t62	წინაწარმეტყუელთა	წინაწარმეტყუელთა	mrav-aghdgoma-kyrile	p4	24	1	1	17	
mrav-aghdgoma-kyrile_p4_t63	სახელ	სახელ	mrav-aghdgoma-kyrile	p4	24	1	18	23	
mrav-aghdgoma-kyrile_p4_t64	დებულ	დებულ	mrav-aghdgoma-kyrile	p4	24	1	24	29	
mrav-aghdgoma-kyrile_p4_t65	არს	არს	mrav-aghdgoma-kyrile	p4	24	1	30	33	
mrav-aghdgoma-kyrile_p4_t66	იგი	იგი	mrav-aghdgoma-kyrile	p4	25	1	1	4	
mrav-aghdgoma-kyrile_p4_t67	რომელ	რომელ	mrav-aghdgoma-kyrile	p4	25	1	6	11	
mrav-aghdgoma-kyrile_p4_t68	ეძიებდეს	ეძიებდეს	mrav-aghdgoma-kyrile	p4	25	1	12	20	
mrav-aghdgoma-kyrile_p4_t69	და	და	mrav-aghdgoma-kyrile	p4	26	1	1	3	
mrav-aghdgoma-kyrile_p4_t70	არა	არა	mrav-aghdgoma-kyrile	p4	26	1	4	7	
mrav-aghdgoma-kyrile_p4_t71	პოვეს	პოვეს	mrav-aghdgoma-kyrile	p4	26	1	8	13	
mrav-aghdgoma-kyrile_p4_t72	და	და	mrav-aghdgoma-kyrile	p4	26	1	15	17	
mrav-aghdgoma-kyrile_p4_t73	პოვეს	პოვეს	mrav-aghdgoma-kyrile	p4	27	1	1	6	
mrav-aghdgoma-kyrile_p4_t74	და	და	mrav-aghdgoma-kyrile	p4	27	1	7	9	
mrav-aghdgoma-kyrile_p4_t75	უხაროდა	უხაროდა	mrav-aghdgoma-kyrile	p4	27	1	10	17	
mrav-aghdgoma-kyrile_p4_t76	სახარებანი	სახარებანი	mrav-aghdgoma-kyrile	p4	29	1	1	11	
mrav-aghdgoma-kyrile_p4_t77	აღმოიკითხვებოდიან	აღმოიკითხვებოდიან	mrav-aghdgoma-kyrile	p4	29	1	12	29	
mrav-aghdgoma-kyrile_p4_t78	არა	არა	mrav-aghdgoma-kyrile	p4	29	1	31	34	
mrav-aghdgoma-kyrile_p4_t79	ნაცილ	ნაცილ	mrav-aghdgoma-kyrile	p4	29	1	35	40	
mrav-aghdgoma-kyrile_p4_t80	და	და	mrav-aghdgoma-kyrile	p4	29	1	41	43	
mrav-aghdgoma-kyrile_p4_t81	იყვნენ	იყვნენ	mrav-aghdgoma-kyrile	p4	31	1	1	7	
mrav-aghdgoma-kyrile_p4_t82	წმიდათა	წმიდათა	mrav-aghdgoma-kyrile	p4	31	1	8	15	
mrav-aghdgoma-kyrile_p4_t83	სახარებათა	სახარებათა	mrav-aghdgoma-kyrile	p4	31	1	16	26	
mrav-aghdgoma-kyrile_p5_t0	ა	და	mrav-aghdgoma-kyrile	p5	1	1	0	1	დ
mrav-aghdgoma-kyrile_p5_t1	დაეფლა	დაეფლა	mrav-aghdgoma-kyrile	p5	2	1	1	7	
mrav-aghdgoma-kyrile_p5_t2	მაცხოვარი	მაცხოვარი	mrav-aghdgoma-kyrile	p5	2	1	8	17	
mrav-aghdgoma-kyrile_p5_t3	გასმიეს	გასმიეს	mrav-aghdgoma-kyrile	p5	2	1	19	26	
mrav-aghdgoma-kyrile_p5_t4	განცხადებულად	განცხადებულად	mrav-aghdgoma-kyrile	p5	2	1	27	40	
mrav-aghdgoma-kyrile_p5_t5	პირველსა	პირველსა	mrav-aghdgoma-kyrile	p5	2	1	41	49	
mrav-aghdgoma-kyrile_p5_t6	მას	მას	mrav-aghdgoma-kyrile	p5	2	1	50	53	
mrav-aghdgoma-kyrile_p5_t7	ესაია	ესაია	mrav-aghdgoma-kyrile	p5	4	1	1	6	
mrav-aghdgoma-kyrile_p5_t8	იტყჳს	იტყვს	mrav-aghdgoma-kyrile	p5	4	1	7	12	
mrav-aghdgoma-kyrile_p5_t9	იყოს	იყოს	mrav-aghdgoma-kyrile	p5	4	1	14	18	
mrav-aghdgoma-kyrile_p5_t10	მშჳდობით	მშვდობით	mrav-aghdgoma-kyrile	p5	4	1	19	27	
mrav-aghdgoma-kyrile_p5_t11	მისი	მისი	mrav-aghdgoma-kyrile	p5	5	1	1	5	
mrav-aghdgoma-kyrile_p5_t12	მშჳდობა	მშვდობა	mrav-aghdgoma-kyrile	p5	7	1	1	8	
mrav-aghdgoma-kyrile_p5_t13	ყო	ყო	mrav-aghdgoma-kyrile	p5	7	1	9	11	
mrav-aghdgoma-kyrile_p5_t14	ცასა	ცასა	mrav-aghdgoma-kyrile	p5	7	1	12	16	
mrav-aghdgoma-kyrile_p5_t15	და	და	mrav-aghdgoma-kyrile	p5	7	1	17	19	
mrav-aghdgoma-kyrile_p5_t16	ქუეყანასა	ქუეყანასა	mrav-aghdgoma-kyrile	p5	7	1	20	29	
mrav-aghdgoma-kyrile_p5_t17	და	და	mrav-aghdgoma-kyrile	p5	7	1	30	32	
mrav-aghdgoma-kyrile_p5_t18	ცოდვილნი	ცოდვილნი	mrav-aghdgoma-kyrile	p5	7	1	33	41	
mrav-aghdgoma-kyrile_p5_t19	წარუდგინნა	წარუდგინნა	mrav-aghdgoma-kyrile	p5	7	1	42	52	
mrav-aghdgoma-kyrile_p5_t20	და	და	mrav-aghdgoma-kyrile	p5	7	1	53	55	
mrav-aghdgoma-kyrile_p5_t21	დააგნა	დააგნა	mrav-aghdgoma-kyrile	p5	7	1	56	62	
mrav-aghdgoma-kyrile_p5_t22	იტყჳს	იტყვს	mrav-aghdgoma-kyrile	p5	9	1	1	6	
mrav-aghdgoma-kyrile_p5_t23	პირისაგან	პირისაგან	mrav-aghdgoma-kyrile	p5	9	1	8	17	
mrav-aghdgoma-kyrile_p5_t24	სიცრუვისა	სიცრუვისა	mrav-aghdgoma-kyrile	p5	9	1	18	27	
mrav-aghdgoma-kyrile_p5_t25	აღებულ	აღებულ	mrav-aghdgoma-kyrile	p5	9	1	28	34	
mrav-aghdgoma-kyrile_p5_t26	არს	არს	mrav-aghdgoma-kyrile	p5	9	1	35	38	
mrav-aghdgoma-kyrile_p5_t27	სამართალი	სამართალი	mrav-aghdgoma-kyrile	p5	9	1	39	48	
mrav-aghdgoma-kyrile_p5_t28	და	და	mrav-aghdgoma-kyrile	p5	9	1	50	52	
mrav-aghdgoma-kyrile_p5_t29	იყოს	იყოს	mrav-aghdgoma-kyrile	p5	9	1	53	57	
mrav-aghdgoma-kyrile_p5_t30	მშჳდობით	მშვდობით	mrav-aghdgoma-kyrile	p5	9	1	58	66	
mrav-aghdgoma-kyrile_p5_t31	მისი	მისი	mrav-aghdgoma-kyrile	p5	10	1	1	5	
mrav-aghdgoma-kyrile_p5_t32	და	და	mrav-aghdgoma-kyrile	p5	11	1	2	4	
mrav-aghdgoma-kyrile_p5_t33	მივსცნე	მივსცნე	mrav-aghdgoma-kyrile	p5	11	1	5	12	
mrav-aghdgoma-kyrile_p5_t34	უკეთურნი	უკეთურნი	mrav-aghdgoma-kyrile	p5	11	1	13	21	
